PriceTomorow,Open,High,Low,Vol.,Change,Date,Price
23215.20,22529.30,23757.30,21581.80,308.91,0.0393,19-Jul-22,
23410.20,20785.60,22714.90,20770.60,279.72,0.0837,18-Jul-22,
22525.80,21209.80,21654.40,20755.20,132.81,-0.0200,17-Jul-22,
20785.60,20825.20,21561.30,20484.40,136.89,0.0185,16-Jul-22,
21209.90,20586.10,21178.10,20393.40,164.67,0.0116,15-Jul-22,
20825.10,20250.00,20862.20,19664.90,205.28,0.0166,14-Jul-22,
20586.00,19331.60,20250.80,18942.20,249.38,0.0475,13-Jul-22,
20250.00,19963.20,20051.70,19279.60,167.91,-0.0317,12-Jul-22,
19330.90,20847.20,20855.00,19897.00,160.20,-0.0424,11-Jul-22,
19963.20,21587.40,21599.20,20689.70,204.68,-0.0343,10-Jul-22,
20847.40,21610.40,21944.10,21338.40,190.11,-0.0011,9-Jul-22,
21587.50,21637.10,22482.10,21207.00,439.90,-0.0012,8-Jul-22,
21611.20,20557.90,21817.80,20282.70,115.81,0.0524,7-Jul-22,
21637.80,20180.40,20654.90,19785.30,105.24,0.0178,6-Jul-22,
20561.10,20215.80,20706.90,19315.40,122.43,-0.0008,5-Jul-22,
20200.60,19310.60,20303.80,19052.50,92.79,0.0469,4-Jul-22,
20215.80,19243.40,19626.40,18794.40,65.27,0.0035,3-Jul-22,
19309.90,19275.40,19425.40,19006.40,58.57,-0.0010,2-Jul-22,
19243.20,19926.60,20785.60,18980.10,150.18,-0.0333,1-Jul-22,
19262.90,20111.30,20155.10,18682.70,127.73,-0.0092,30-Jun-22,
19926.60,20278.00,20415.80,19880.70,98.97,-0.0082,29-Jun-22,
20111.30,20727.90,21200.20,20210.50,83.83,-0.0218,28-Jun-22,
20278.00,21037.70,21497.50,20568.00,84.69,-0.0149,27-Jun-22,
20730.20,21489.90,21837.40,20989.70,67.21,-0.0208,26-Jun-22,
21043.50,21226.90,21553.40,20917.50,66.63,0.0124,25-Jun-22,
21489.90,21100.90,21488.70,20743.90,104.56,0.0060,24-Jun-22,
21226.90,19967.30,21189.80,19907.50,110.70,0.0568,23-Jun-22,
21100.70,20720.20,20864.30,19780.20,125.94,-0.0364,22-Jun-22,
19965.80,20571.60,21689.30,20371.70,136.32,0.0072,21-Jun-22,
20720.40,20576.90,20996.80,19658.80,140.60,-0.0002,20-Jun-22,
20572.30,18983.40,20763.50,17983.70,169.39,0.0838,19-Jun-22,
20577.20,20446.40,20744.70,17630.50,267.25,-0.0713,18-Jun-22,
18986.50,20391.30,21315.40,20244.10,136.27,0.0028,17-Jun-22,
20444.60,22577.90,22942.10,20231.10,144.00,-0.0971,16-Jun-22,
20386.60,22137.50,22754.40,20125.80,280.41,0.0190,15-Jun-22,
22577.90,22449.10,23200.30,20860.90,251.01,-0.0129,14-Jun-22,
22157.30,26606.30,26857.60,22006.30,379.26,-0.1563,13-Jun-22,
22448.00,28404.00,28534.80,26606.30,120.02,-0.0633,12-Jun-22,
26606.30,29083.30,29426.60,28161.80,82.92,-0.0234,11-Jun-22,
28403.40,30097.40,30325.60,28884.90,104.26,-0.0337,10-Jun-22,
29083.30,30202.10,30691.40,29953.80,61.72,-0.0034,9-Jun-22,
30097.80,31127.20,31312.10,29874.80,87.96,-0.0298,8-Jun-22,
30201.60,31370.30,31556.60,29235.00,140.32,-0.0076,7-Jun-22,
31128.80,29911.20,31753.40,29888.60,94.01,0.0486,6-Jun-22,
31367.60,29865.10,30166.90,29539.00,30.33,0.0016,5-Jun-22,
29913.00,29700.90,29963.80,29489.50,33.51,0.0055,4-Jun-22,
29864.30,30455.70,30674.80,29330.80,72.13,-0.0248,3-Jun-22,
29700.90,29798.60,30638.50,29604.40,81.40,0.0220,2-Jun-22,
30455.50,31793.10,31969.90,29396.60,135.09,-0.0627,1-Jun-22,
29798.50,31730.20,32377.50,31221.20,86.60,0.0022,31-May-22,
31793.40,29465.20,32185.60,29307.20,129.56,0.0766,30-May-22,
31723.30,29027.10,29556.50,28838.70,36.87,0.0151,29-May-22,
29465.20,28620.10,29194.40,28537.20,43.87,0.0149,28-May-22,
29027.10,29194.00,29377.10,28282.20,116.41,-0.0206,27-May-22,
28601.20,29537.90,29868.90,28077.90,126.71,-0.0114,26-May-22,
29203.50,29648.70,30202.30,29353.50,78.85,-0.0036,25-May-22,
29540.60,29091.60,29810.80,28706.10,79.42,0.0191,24-May-22,
29648.70,30287.30,30644.80,28913.60,92.10,-0.0394,23-May-22,
29093.30,29433.00,30462.00,29260.10,50.60,0.0289,22-May-22,
30286.60,29188.70,29623.20,28953.90,32.27,0.0088,21-May-22,
29434.60,30305.90,30735.10,28738.50,98.78,-0.0372,20-May-22,
29178.60,28700.40,30525.10,28682.10,101.38,0.0566,19-May-22,
30305.90,30437.50,30687.90,28648.10,92.03,-0.0576,18-May-22,
28683.70,29856.70,30720.10,29484.50,79.63,0.0197,17-May-22,
30437.50,31308.30,31312.40,29135.80,100.25,-0.0466,16-May-22,
29849.00,30078.60,31383.80,29499.40,65.44,0.0408,15-May-22,
31308.70,29285.20,30277.40,28666.70,70.46,0.0272,14-May-22,
30080.40,28994.30,31002.70,28755.00,141.23,0.0106,13-May-22,
29284.40,29073.40,30136.70,26500.50,309.48,-0.0032,12-May-22,
28976.00,31008.00,32113.60,27835.50,296.90,-0.0625,11-May-22,
29068.20,30098.20,32621.20,29831.00,235.61,0.0303,10-May-22,
31007.50,34041.00,34227.00,30095.00,268.09,-0.1164,9-May-22,
30095.00,35468.00,35497.00,33727.00,671.05,-0.0397,8-May-22,
34060.00,36003.00,36119.00,34773.00,288.86,-0.0150,7-May-22,
35468.00,36540.00,36646.00,35267.00,752.84,-0.0146,6-May-22,
36009.00,39686.00,39833.00,36183.00,1.04,-0.0792,5-May-22,
36544.00,37717.00,40021.00,37660.00,691.49,0.0522,4-May-22,
39688.00,38515.00,38647.00,37513.00,367.21,-0.0207,3-May-22,
37718.00,38472.00,39134.00,38061.00,580.79,0.0014,2-May-22,
38514.00,37642.00,38676.00,37397.00,276.99,0.0215,1-May-22,
38461.00,38590.00,38776.00,37596.00,248.22,-0.0241,30-Apr-22,
37650.00,39748.00,39919.00,38175.00,382.90,-0.0294,29-Apr-22,
38581.00,39243.00,40382.00,38888.00,542.39,0.0129,28-Apr-22,
39748.00,38113.00,39447.00,37869.00,426.83,0.0296,27-Apr-22,
39243.00,40443.00,40770.00,37708.00,681.47,-0.0572,26-Apr-22,
38113.00,39464.00,40599.00,38233.00,654.60,0.0244,25-Apr-22,
40427.00,39434.00,39929.00,39033.00,283.63,0.0012,24-Apr-22,
39464.00,39709.00,39973.00,39291.00,190.60,-0.0073,23-Apr-22,
39418.00,40487.00,40792.00,39200.00,421.30,-0.0191,22-Apr-22,
39709.00,41370.00,42969.00,39793.00,493.05,-0.0214,21-Apr-22,
40482.00,41499.00,42203.00,40915.00,382.84,-0.0033,20-Apr-22,
41368.00,40809.00,41746.00,40585.00,268.28,0.0172,19-Apr-22,
41503.00,39700.00,41095.00,38577.00,484.26,0.0277,18-Apr-22,
40803.00,40382.00,40599.00,39561.00,210.01,-0.0168,17-Apr-22,
39703.00,40571.00,40691.00,40003.00,151.31,-0.0044,16-Apr-22,
40382.00,39936.00,40850.00,39781.00,233.09,0.0156,15-Apr-22,
40560.00,41133.00,41494.00,39585.00,294.29,-0.0291,14-Apr-22,
39936.00,40072.00,41515.00,39581.00,406.70,0.0263,13-Apr-22,
41133.00,39507.00,40678.00,39265.00,468.27,0.0147,12-Apr-22,
40078.00,42144.00,42418.00,39202.00,608.38,-0.0627,11-Apr-22,
39497.00,42760.00,43421.00,41884.00,255.83,-0.0147,10-Apr-22,
42138.00,42275.00,42809.00,42129.00,165.16,0.0116,9-Apr-22,
42767.00,43450.00,43979.00,42113.00,467.83,-0.0270,8-Apr-22,
42275.00,43166.00,43893.00,42747.00,390.85,0.0064,7-Apr-22,
43448.00,45494.00,45519.00,43122.00,649.52,-0.0513,6-Apr-22,
43173.00,46614.00,47201.00,45388.00,421.11,-0.0241,5-Apr-22,
45506.00,46407.00,46899.00,45152.00,446.12,0.0048,4-Apr-22,
46629.00,45813.00,47435.00,45554.00,398.86,0.0130,3-Apr-22,
46407.00,46299.00,47212.00,45641.00,345.93,-0.0105,2-Apr-22,
45811.00,45529.00,46728.00,44261.00,632.93,0.0170,1-Apr-22,
46297.00,47071.00,47624.00,45228.00,520.00,-0.0329,31-Mar-22,
45525.00,47449.00,47714.00,46601.00,467.76,-0.0079,30-Mar-22,
47075.00,47126.00,48127.00,47029.00,478.82,0.0073,29-Mar-22,
47449.00,46859.00,48199.00,46672.00,610.27,0.0052,28-Mar-22,
47105.00,44542.00,46947.00,44445.00,388.79,0.0519,27-Mar-22,
46859.00,44331.00,44818.00,44090.00,196.30,0.0049,26-Mar-22,
44548.00,44013.00,45112.00,43622.00,494.09,0.0072,25-Mar-22,
44331.00,42911.00,44251.00,42658.00,491.66,0.0257,24-Mar-22,
44013.00,42373.00,43027.00,41795.00,433.96,0.0127,23-Mar-22,
42912.00,41022.00,43327.90,40893.00,537.06,0.0329,22-Mar-22,
42373.00,41282.00,41532.00,40530.00,406.62,-0.0062,21-Mar-22,
41022.00,42241.00,42301.00,40922.00,308.45,-0.0227,20-Mar-22,
41276.00,41768.00,42386.00,41529.60,224.59,0.0111,19-Mar-22,
42233.00,40914.60,42308.40,40234.80,2.31,0.0208,18-Mar-22,
41767.80,41118.70,41406.00,40557.80,1.90,-0.0050,17-Mar-22,
40914.80,39282.50,41701.60,38953.20,4.47,0.0467,16-Mar-22,
41118.70,39673.00,39854.70,38220.90,2.25,-0.0097,15-Mar-22,
39285.70,37789.50,39914.30,37613.60,2.33,0.0497,14-Mar-22,
39671.10,38813.20,39272.30,37603.40,1.55,-0.0263,13-Mar-22,
37792.40,38730.20,39355.30,38666.50,1.11,0.0022,12-Mar-22,
38814.30,39422.50,40177.00,38236.40,2.79,-0.0174,11-Mar-22,
38730.20,41933.90,42029.10,38603.50,3.62,-0.0599,10-Mar-22,
39416.30,38731.50,42538.50,38663.30,3.60,0.0822,9-Mar-22,
41929.00,38020.60,39351.50,37886.60,2.67,0.0189,8-Mar-22,
38744.80,38420.60,39532.00,37182.10,3.02,-0.0099,7-Mar-22,
38024.80,39396.30,39668.10,38115.00,1.93,-0.0252,6-Mar-22,
38403.10,39142.80,39600.20,38626.10,1.50,0.0065,5-Mar-22,
39395.80,42463.00,42848.70,38594.90,3.21,-0.0782,4-Mar-22,
39142.70,43912.80,44077.20,41840.80,74.11,-0.0330,3-Mar-22,
42463.00,44420.30,45294.20,43361.30,80.82,-0.0114,2-Mar-22,
43912.80,43187.20,44900.50,42876.60,90.67,0.0285,1-Mar-22,
44420.30,37707.20,43977.80,37458.90,108.07,0.1459,28-Feb-22,
43188.20,39116.60,39838.50,37062.30,66.14,-0.0365,27-Feb-22,
37689.10,39221.60,40094.50,38639.10,41.55,-0.0024,26-Feb-22,
39115.50,38339.20,39683.70,38042.60,83.78,0.0227,25-Feb-22,
39209.60,37250.20,39351.60,34357.40,180.47,0.0299,24-Feb-22,
38339.20,38248.20,39194.50,37099.50,64.84,-0.0268,23-Feb-22,
37224.60,37018.30,38414.90,36399.60,82.75,0.0332,22-Feb-22,
38248.20,38355.00,39444.10,36868.90,91.82,-0.0349,21-Feb-22,
37017.70,40089.60,40120.30,38042.20,47.92,-0.0433,20-Feb-22,
38355.00,40000.10,40434.30,39666.60,25.78,0.0023,19-Feb-22,
40090.30,40532.50,40935.50,39505.00,64.96,-0.0136,18-Feb-22,
40000.10,43885.50,44167.10,40103.80,72.63,-0.0759,17-Feb-22,
40552.80,44540.90,44552.90,43377.60,41.40,-0.0148,16-Feb-22,
43883.60,42550.30,44722.60,42460.10,56.34,0.0469,15-Feb-22,
44544.40,42061.10,42799.70,41591.30,53.60,0.0116,14-Feb-22,
42550.30,42205.50,42725.10,41880.10,25.88,-0.0034,13-Feb-22,
42061.10,42388.40,43006.40,41776.80,37.88,-0.0043,12-Feb-22,
42205.20,43519.30,43915.10,42023.40,69.95,-0.0260,11-Feb-22,
42388.40,44388.90,45755.20,43242.50,89.69,-0.0196,10-Feb-22,
43521.00,44038.20,44800.40,43163.00,50.92,0.0080,9-Feb-22,
44388.90,43833.90,45399.80,42705.00,92.88,0.0047,8-Feb-22,
44038.20,42385.20,44468.30,41695.40,76.60,0.0340,7-Feb-22,
43833.90,41411.90,42614.80,41176.30,31.20,0.0237,6-Feb-22,
42392.20,41566.50,41899.80,40963.30,46.32,-0.0037,5-Feb-22,
41412.10,37287.80,41689.00,37041.10,95.49,0.1148,4-Feb-22,
41567.60,36890.20,37304.30,36297.30,50.35,0.0108,3-Feb-22,
37287.80,38711.20,38853.80,36682.30,53.74,-0.0470,2-Feb-22,
36890.20,38475.60,39230.00,38037.90,55.20,0.0055,1-Feb-22,
38709.70,37923.80,38701.40,36672.80,61.27,0.0153,31-Jan-22,
38498.60,38167.50,38313.30,37390.60,34.10,-0.0066,30-Jan-22,
37917.70,37736.50,38663.70,37350.20,42.77,0.0113,29-Jan-22,
38170.80,37195.60,37995.90,36176.50,69.45,0.0156,28-Jan-22,
37745.10,36800.10,37215.40,35543.20,83.52,0.0099,27-Jan-22,
37164.30,36962.30,38862.60,36280.00,107.87,-0.0041,26-Jan-22,
36800.40,36691.30,37501.80,35729.30,79.68,0.0072,25-Jan-22,
36950.60,36268.60,37424.00,32985.60,153.77,0.0115,24-Jan-22,
36686.30,35072.90,36513.00,34655.20,70.43,0.0340,23-Jan-22,
36269.50,36467.70,36749.80,34116.00,138.09,-0.0384,22-Jan-22,
35075.20,40698.10,41104.60,35503.90,155.80,-0.1041,21-Jan-22,
36475.50,41683.60,43487.10,40568.30,65.28,-0.0231,20-Jan-22,
40715.90,42365.30,42558.00,41160.90,53.77,-0.0162,19-Jan-22,
41677.80,42209.90,42674.20,41300.70,47.32,0.0037,18-Jan-22,
42364.60,43080.50,43179.60,41559.40,41.44,-0.0202,17-Jan-22,
42209.30,43079.20,43462.00,42643.30,28.66,-0.0004,16-Jan-22,
43079.10,43073.60,43777.90,42586.10,31.44,0.0006,15-Jan-22,
43097.00,42562.20,43435.10,41848.70,50.50,0.0121,14-Jan-22,
43073.30,43900.00,44404.70,42337.50,53.42,-0.0305,13-Jan-22,
42560.00,42735.00,44243.60,42476.70,53.95,0.0273,12-Jan-22,
43901.00,41829.10,43090.20,41287.60,61.78,0.0215,11-Jan-22,
42733.20,41848.90,42243.80,39697.00,85.50,-0.0004,10-Jan-22,
41832.20,41681.20,42764.40,41260.90,37.51,0.0042,9-Jan-22,
41848.30,41551.30,42304.40,40574.30,52.54,0.0030,8-Jan-22,
41672.00,43097.90,43127.70,40810.00,88.36,-0.0360,7-Jan-22,
41546.70,43431.60,43772.30,42481.10,63.08,-0.0076,6-Jan-22,
43097.50,45833.10,47019.40,42535.10,83.74,-0.0526,5-Jan-22,
43425.90,46435.70,47505.40,45602.10,55.59,-0.0128,4-Jan-22,
45837.30,47293.90,47556.00,45704.00,41.06,-0.0186,3-Jan-22,
46430.20,47738.70,47944.90,46718.20,27.02,-0.0089,2-Jan-22,
47311.80,46217.50,47917.60,46217.50,31.24,0.0329,1-Jan-22,
47738.00,47123.30,48553.90,45693.60,58.18,-0.0192,31-Dec-21,
46219.50,46470.70,47901.40,46003.00,60.96,0.0142,30-Dec-21,
47123.30,47548.40,48121.70,46127.80,63.92,-0.0228,29-Dec-21,
46461.70,50703.40,50703.80,47345.70,74.39,-0.0618,28-Dec-21,
47545.20,50783.60,52016.30,50459.00,43.90,-0.0020,27-Dec-21,
50678.20,50404.00,51247.00,49527.00,32.34,0.0074,26-Dec-21,
50779.90,50789.60,51140.20,50196.80,26.67,-0.0075,25-Dec-21,
50406.40,50807.40,51795.30,50428.40,45.97,-0.0003,24-Dec-21,
50786.10,48599.60,51355.60,48053.40,56.24,0.0453,23-Dec-21,
50801.00,48898.70,49540.30,48449.70,40.89,-0.0062,22-Dec-21,
48599.70,46900.10,49306.10,46654.00,57.88,0.0428,21-Dec-21,
48902.00,46703.40,47488.90,45577.30,57.53,0.0041,20-Dec-21,
46895.20,46855.70,48270.20,46438.40,44.05,-0.0032,19-Dec-21,
46704.50,46171.80,47330.20,45513.40,36.93,0.0148,18-Dec-21,
46856.20,47630.40,47997.20,45523.80,67.50,-0.0306,17-Dec-21,
46172.20,48876.60,49387.80,47543.90,48.20,-0.0254,16-Dec-21,
47628.20,48366.20,49477.90,46572.60,80.28,0.0104,15-Dec-21,
48871.50,46709.80,48635.00,46338.30,62.54,0.0356,14-Dec-21,
48366.50,50075.90,50196.10,45848.20,80.37,-0.0674,13-Dec-21,
46703.60,49332.50,50779.20,48670.50,40.30,0.0155,12-Dec-21,
50081.00,47138.40,49487.00,46834.00,45.23,0.0462,11-Dec-21,
49314.50,47591.70,49974.80,47007.10,68.06,-0.0097,10-Dec-21,
47137.20,50477.60,50790.20,47341.90,58.69,-0.0570,9-Dec-21,
47596.60,50596.60,51204.70,48700.70,55.59,-0.0024,8-Dec-21,
50473.90,50547.40,51918.60,50070.90,56.29,0.0007,7-Dec-21,
50595.20,49412.10,50913.30,47237.90,89.68,0.0234,6-Dec-21,
50562.10,49196.40,49689.30,47797.80,72.03,0.0043,5-Dec-21,
49405.50,53620.70,53847.20,42587.80,168.00,-0.0827,4-Dec-21,
49195.20,56495.20,57543.60,52008.90,89.20,-0.0507,3-Dec-21,
53631.50,57207.80,57377.50,55807.90,54.94,-0.0125,2-Dec-21,
56496.00,56891.70,59064.30,56496.50,66.75,0.0058,1-Dec-21,
57210.30,57795.20,59174.40,55936.90,73.66,-0.0158,30-Nov-21,
56882.90,57288.10,58855.20,56726.70,58.65,0.0088,29-Nov-21,
57794.80,54758.00,57392.30,53448.30,49.28,0.0461,28-Nov-21,
57291.50,53747.20,55280.30,53654.30,40.71,0.0193,27-Nov-21,
54765.90,58937.30,59151.10,53533.50,104.03,-0.0883,26-Nov-21,
53730.90,57167.10,59387.30,57029.80,56.79,0.0308,25-Nov-21,
58935.10,57559.40,57697.40,55910.60,56.68,-0.0070,24-Nov-21,
57171.70,56304.80,57855.10,55542.50,72.48,0.0225,23-Nov-21,
57573.20,58719.70,59288.30,55656.80,76.45,-0.0410,22-Nov-21,
56308.80,59724.00,60002.60,58528.30,40.98,-0.0168,21-Nov-21,
58714.30,58080.80,59854.60,57435.30,44.53,0.0281,20-Nov-21,
59717.60,56908.30,58335.90,55626.30,74.44,0.0198,19-Nov-21,
58083.40,60368.20,60936.90,56524.40,100.37,-0.0565,18-Nov-21,
56955.30,60074.20,60814.50,58531.90,73.93,0.0046,17-Nov-21,
60367.80,63605.10,63605.60,58655.90,115.36,-0.0552,16-Nov-21,
60089.10,65514.90,66311.20,63439.50,53.53,-0.0292,15-Nov-21,
63597.90,64397.20,65508.20,63608.30,33.98,0.0172,14-Nov-21,
65508.20,64133.30,64906.00,63381.40,30.34,0.0041,13-Nov-21,
64398.60,64782.60,65449.70,62309.70,63.27,-0.0104,12-Nov-21,
64134.50,64922.80,65583.30,64121.90,50.37,-0.0019,11-Nov-21,
64806.70,66942.60,68990.60,62951.30,96.21,-0.0295,10-Nov-21,
64932.60,67528.70,68493.30,66334.90,66.13,-0.0092,9-Nov-21,
66904.40,63276.40,67763.30,63276.40,81.08,0.0672,8-Nov-21,
67527.90,61483.80,63273.20,61347.20,34.34,0.0291,7-Nov-21,
63273.20,60973.20,61543.20,60093.60,34.89,0.0084,6-Nov-21,
61483.90,61411.50,62560.30,60742.40,44.46,-0.0071,5-Nov-21,
60974.30,62915.40,63077.60,60742.90,49.91,-0.0239,4-Nov-21,
61412.60,63223.50,63508.60,60883.00,61.05,-0.0048,3-Nov-21,
62918.50,60912.20,64256.40,60651.50,65.26,0.0379,2-Nov-21,
63221.70,61310.10,62430.10,59612.70,61.21,-0.0064,1-Nov-21,
